iter	Passed	Remaining
949	63988	3367
950	64043	3299
951	64095	3231
952	64151	3163
953	64205	3095
954	64260	3028
955	64312	2960
956	64367	2892
957	64420	2824
958	64475	2756
959	64528	2688
960	64585	2621
961	64637	2553
962	64692	2485
963	64744	2417
964	64798	2350
965	64850	2282
966	64903	2214
967	64957	2147
968	65007	2079
969	65058	2012
970	65109	1944
971	65163	1877
972	65217	1809
973	65271	1742
974	65329	1675
975	65386	1607
976	65439	1540
977	65496	1473
978	65549	1406
979	65605	1338
980	65661	1271
981	65715	1204
982	65768	1137
983	65822	1070
984	65874	1003
985	65929	936
986	65982	869
987	66037	802
988	66088	735
989	66142	668
990	66194	601
991	66248	534
992	66299	467
993	66354	400
994	66406	333
995	66459	266
996	66512	200
997	66564	133
998	66616	66
999	66676	0
